product_name,product_link,product_img,product_price,product_details,product_reviews_number,product_reviews_star_number
Packard 255 G2,/test-sites/e-commerce/static/product/31,/images/test-sites/e-commerce/items/cart2.png,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews,
Aspire E1-510,/test-sites/e-commerce/static/product/32,/images/test-sites/e-commerce/items/cart2.png,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews,
ThinkPad T540p,/test-sites/e-commerce/static/product/33,/images/test-sites/e-commerce/items/cart2.png,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews,
ProBook,/test-sites/e-commerce/static/product/34,/images/test-sites/e-commerce/items/cart2.png,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews,
ThinkPad X240,/test-sites/e-commerce/static/product/35,/images/test-sites/e-commerce/items/cart2.png,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12 reviews,
Aspire E1-572G,/test-sites/e-commerce/static/product/36,/images/test-sites/e-commerce/items/cart2.png,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2 reviews,
ThinkPad Yoga,/test-sites/e-commerce/static/product/37,/images/test-sites/e-commerce/items/cart2.png,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13 reviews,
Pavilion,/test-sites/e-commerce/static/product/38,/images/test-sites/e-commerce/items/cart2.png,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews,
Inspiron 15,/test-sites/e-commerce/static/product/39,/images/test-sites/e-commerce/items/cart2.png,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12 reviews,
Dell XPS 13,/test-sites/e-commerce/static/product/40,/images/test-sites/e-commerce/items/cart2.png,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 reviews,
ThinkPad X230,/test-sites/e-commerce/static/product/41,/images/test-sites/e-commerce/items/cart2.png,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10 reviews,
HP 250 G3,/test-sites/e-commerce/static/product/42,/images/test-sites/e-commerce/items/cart2.png,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",13 reviews,
ThinkPad Yoga,/test-sites/e-commerce/static/product/43,/images/test-sites/e-commerce/items/cart2.png,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2 reviews,
HP 350 G1,/test-sites/e-commerce/static/product/44,/images/test-sites/e-commerce/items/cart2.png,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10 reviews,
Asus VivoBook...,/test-sites/e-commerce/static/product/45,/images/test-sites/e-commerce/items/cart2.png,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews,
Dell Vostro 15,/test-sites/e-commerce/static/product/46,/images/test-sites/e-commerce/items/cart2.png,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews,
Acer Spin 5,/test-sites/e-commerce/static/product/47,/images/test-sites/e-commerce/items/cart2.png,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews,
Acer Aspire A5...,/test-sites/e-commerce/static/product/48,/images/test-sites/e-commerce/items/cart2.png,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 reviews,
Dell Inspiron...,/test-sites/e-commerce/static/product/49,/images/test-sites/e-commerce/items/cart2.png,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",7 reviews,
