Product Name,Product Link,Product Image,Product Price,Product Details,Product Reviews Number
Prestigio Smar...,/test-sites/e-commerce/allinone/product/62,/images/test-sites/e-commerce/items/cart2.png,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",12 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/64,/images/test-sites/e-commerce/items/cart2.png,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews
Acer Aspire A3...,/test-sites/e-commerce/allinone/product/67,/images/test-sites/e-commerce/items/cart2.png,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",0 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/70,/images/test-sites/e-commerce/items/cart2.png,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",9 reviews
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/72,/images/test-sites/e-commerce/items/cart2.png,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",12 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/75,/images/test-sites/e-commerce/items/cart2.png,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",14 reviews
Asus EeeBook R...,/test-sites/e-commerce/allinone/product/77,/images/test-sites/e-commerce/items/cart2.png,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1 reviews
Acer Extensa 1...,/test-sites/e-commerce/allinone/product/80,/images/test-sites/e-commerce/items/cart2.png,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",6 reviews
Acer Aspire A3...,/test-sites/e-commerce/allinone/product/83,/images/test-sites/e-commerce/items/cart2.png,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",9 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/86,/images/test-sites/e-commerce/items/cart2.png,$469.1,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",5 reviews
