Product Name,Product Link,Product Image,Product Price,Product Details,Product Reviews Number
Prestigio Smar...,/test-sites/e-commerce/allinone/product/61,/images/test-sites/e-commerce/items/cart2.png,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",8 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/63,/images/test-sites/e-commerce/items/cart2.png,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/66,/images/test-sites/e-commerce/items/cart2.png,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/69,/images/test-sites/e-commerce/items/cart2.png,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/71,/images/test-sites/e-commerce/items/cart2.png,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",3 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/74,/images/test-sites/e-commerce/items/cart2.png,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",9 reviews
Packard 255 G2,/test-sites/e-commerce/allinone/product/31,/images/test-sites/e-commerce/items/cart2.png,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/79,/images/test-sites/e-commerce/items/cart2.png,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",2 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/82,/images/test-sites/e-commerce/items/cart2.png,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2 reviews
Asus VivoBook...,/test-sites/e-commerce/allinone/product/85,/images/test-sites/e-commerce/items/cart2.png,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",1 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/88,/images/test-sites/e-commerce/items/cart2.png,$485.9,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",6 reviews
Dell Vostro 15,/test-sites/e-commerce/allinone/product/46,/images/test-sites/e-commerce/items/cart2.png,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews
Lenovo V510 Bl...,/test-sites/e-commerce/allinone/product/93,/images/test-sites/e-commerce/items/cart2.png,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",5 reviews
HP 350 G1,/test-sites/e-commerce/allinone/product/44,/images/test-sites/e-commerce/items/cart2.png,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10 reviews
Acer Aspire A5...,/test-sites/e-commerce/allinone/product/48,/images/test-sites/e-commerce/items/cart2.png,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 reviews
ProBook,/test-sites/e-commerce/allinone/product/34,/images/test-sites/e-commerce/items/cart2.png,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews
Acer Nitro 5 A...,/test-sites/e-commerce/allinone/product/52,/images/test-sites/e-commerce/items/cart2.png,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews
ThinkPad Yoga,/test-sites/e-commerce/allinone/product/37,/images/test-sites/e-commerce/items/cart2.png,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13 reviews
MSI GL72M 7RDX,/test-sites/e-commerce/allinone/product/96,/images/test-sites/e-commerce/items/cart2.png,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1 reviews
Dell Latitude...,/test-sites/e-commerce/allinone/product/99,/images/test-sites/e-commerce/items/cart2.png,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",8 reviews
Toshiba Porteg...,/test-sites/e-commerce/allinone/product/102,/images/test-sites/e-commerce/items/cart2.png,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",0 reviews
Dell Inspiron...,/test-sites/e-commerce/allinone/product/105,/images/test-sites/e-commerce/items/cart2.png,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",10 reviews
Asus AsusPro A...,/test-sites/e-commerce/allinone/product/108,/images/test-sites/e-commerce/items/cart2.png,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",7 reviews
